Maand,vegan
2004-01,4
2004-02,0
2004-03,6
2004-04,0
2004-05,5
2004-06,9
2004-07,0
2004-08,8
2004-09,0
2004-10,0
2004-11,0
2004-12,4
2005-01,10
2005-02,0
2005-03,3
2005-04,3
2005-05,0
2005-06,4
2005-07,0
2005-08,5
2005-09,6
2005-10,7
2005-11,0
2005-12,4
2006-01,2
2006-02,0
2006-03,8
2006-04,4
2006-05,0
2006-06,0
2006-07,0
2006-08,3
2006-09,3
2006-10,0
2006-11,0
2006-12,4
2007-01,4
2007-02,2
2007-03,0
2007-04,4
2007-05,3
2007-06,4
2007-07,2
2007-08,1
2007-09,4
2007-10,0
2007-11,3
2007-12,2
2008-01,2
2008-02,2
2008-03,5
2008-04,4
2008-05,3
2008-06,2
2008-07,0
2008-08,4
2008-09,3
2008-10,4
2008-11,2
2008-12,2
2009-01,1
2009-02,2
2009-03,3
2009-04,2
2009-05,2
2009-06,4
2009-07,3
2009-08,4
2009-09,1
2009-10,2
2009-11,4
2009-12,3
2010-01,3
2010-02,4
2010-03,3
2010-04,1
2010-05,2
2010-06,3
2010-07,3
2010-08,1
2010-09,4
2010-10,4
2010-11,2
2010-12,6
2011-01,2
2011-02,4
2011-03,4
2011-04,3
2011-05,5
2011-06,2
2011-07,2
2011-08,4
2011-09,4
2011-10,2
2011-11,5
2011-12,5
2012-01,5
2012-02,5
2012-03,5
2012-04,5
2012-05,5
2012-06,6
2012-07,7
2012-08,7
2012-09,5
2012-10,4
2012-11,6
2012-12,8
2013-01,8
2013-02,7
2013-03,7
2013-04,6
2013-05,9
2013-06,9
2013-07,11
2013-08,10
2013-09,9
2013-10,9
2013-11,11
2013-12,13
2014-01,10
2014-02,10
2014-03,13
2014-04,13
2014-05,12
2014-06,13
2014-07,13
2014-08,11
2014-09,12
2014-10,16
2014-11,14
2014-12,17
2015-01,20
2015-02,16
2015-03,19
2015-04,17
2015-05,18
2015-06,17
2015-07,20
2015-08,26
2015-09,24
2015-10,28
2015-11,29
2015-12,33
2016-01,29
2016-02,33
2016-03,34
2016-04,30
2016-05,40
2016-06,36
2016-07,36
2016-08,38
2016-09,37
2016-10,40
2016-11,46
2016-12,46
2017-01,44
2017-02,45
2017-03,41
2017-04,50
2017-05,41
2017-06,40
2017-07,56
2017-08,63
2017-09,52
2017-10,53
2017-11,56
2017-12,62
2018-01,56
2018-02,65
2018-03,60
2018-04,61
2018-05,56
2018-06,54
2018-07,60
2018-08,73
2018-09,63
2018-10,65
2018-11,73
2018-12,86
2019-01,71
2019-02,68
2019-03,74
2019-04,73
2019-05,69
2019-06,56
2019-07,60
2019-08,77
2019-09,68
2019-10,77
2019-11,96
2019-12,100
2020-01,93
2020-02,82
2020-03,69
2020-04,78
2020-05,76
2020-06,73
2020-07,75
2020-08,76
2020-09,76
2020-10,67
2020-11,79
2020-12,79
2021-01,72
2021-02,70
2021-03,75
2021-04,73
2021-05,67
2021-06,55
2021-07,69
2021-08,71
2021-09,62
2021-10,71
2021-11,73
2021-12,86
2022-01,83
2022-02,77
2022-03,79
2022-04,85
2022-05,69
2022-06,71
2022-07,73
2022-08,80
2022-09,72
2022-10,70
2022-11,73
2022-12,80
