Categorie: Alle categorieën

Week,vegan: (België)
2017-12-03,58
2017-12-10,59
2017-12-17,58
2017-12-24,68
2017-12-31,64
2018-01-07,53
2018-01-14,52
2018-01-21,52
2018-01-28,57
2018-02-04,49
2018-02-11,76
2018-02-18,64
2018-02-25,59
2018-03-04,54
2018-03-11,59
2018-03-18,54
2018-03-25,55
2018-04-01,63
2018-04-08,56
2018-04-15,61
2018-04-22,48
2018-04-29,51
2018-05-06,41
2018-05-13,49
2018-05-20,61
2018-05-27,49
2018-06-03,56
2018-06-10,50
2018-06-17,40
2018-06-24,51
2018-07-01,58
2018-07-08,53
2018-07-15,48
2018-07-22,68
2018-07-29,65
2018-08-05,59
2018-08-12,79
2018-08-19,76
2018-08-26,60
2018-09-02,63
2018-09-09,62
2018-09-16,55
2018-09-23,57
2018-09-30,60
2018-10-07,62
2018-10-14,56
2018-10-21,64
2018-10-28,90
2018-11-04,77
2018-11-11,61
2018-11-18,65
2018-11-25,46
2018-12-02,78
2018-12-09,66
2018-12-16,73
2018-12-23,92
2018-12-30,83
2019-01-06,54
2019-01-13,69
2019-01-20,64
2019-01-27,66
2019-02-03,73
2019-02-10,74
2019-02-17,67
2019-02-24,57
2019-03-03,63
2019-03-10,68
2019-03-17,69
2019-03-24,76
2019-03-31,65
2019-04-07,70
2019-04-14,68
2019-04-21,62
2019-04-28,69
2019-05-05,67
2019-05-12,66
2019-05-19,66
2019-05-26,53
2019-06-02,51
2019-06-09,50
2019-06-16,59
2019-06-23,48
2019-06-30,51
2019-07-07,53
2019-07-14,55
2019-07-21,65
2019-07-28,57
2019-08-04,65
2019-08-11,75
2019-08-18,70
2019-08-25,72
2019-09-01,68
2019-09-08,61
2019-09-15,63
2019-09-22,65
2019-09-29,70
2019-10-06,62
2019-10-13,66
2019-10-20,76
2019-10-27,100
2019-11-03,91
2019-11-10,91
2019-11-17,79
2019-11-24,78
2019-12-01,88
2019-12-08,81
2019-12-15,89
2019-12-22,98
2019-12-29,97
2020-01-05,87
2020-01-12,84
2020-01-19,82
2020-01-26,78
2020-02-02,76
2020-02-09,72
2020-02-16,80
2020-02-23,79
2020-03-01,87
2020-03-08,62
2020-03-15,51
2020-03-22,58
2020-03-29,73
2020-04-05,72
2020-04-12,75
2020-04-19,75
2020-04-26,77
2020-05-03,76
2020-05-10,70
2020-05-17,63
2020-05-24,66
2020-05-31,63
2020-06-07,76
2020-06-14,63
2020-06-21,62
2020-06-28,62
2020-07-05,71
2020-07-12,73
2020-07-19,84
2020-07-26,71
2020-08-02,71
2020-08-09,69
2020-08-16,70
2020-08-23,73
2020-08-30,70
2020-09-06,67
2020-09-13,76
2020-09-20,68
2020-09-27,66
2020-10-04,69
2020-10-11,62
2020-10-18,65
2020-10-25,60
2020-11-01,74
2020-11-08,70
2020-11-15,72
2020-11-22,77
2020-11-29,69
2020-12-06,61
2020-12-13,69
2020-12-20,87
2020-12-27,76
2021-01-03,66
2021-01-10,62
2021-01-17,62
2021-01-24,74
2021-01-31,68
2021-02-07,63
2021-02-14,69
2021-02-21,70
2021-02-28,59
2021-03-07,74
2021-03-14,68
2021-03-21,71
2021-03-28,73
2021-04-04,66
2021-04-11,69
2021-04-18,68
2021-04-25,66
2021-05-02,65
2021-05-09,64
2021-05-16,63
2021-05-23,63
2021-05-30,55
2021-06-06,53
2021-06-13,48
2021-06-20,47
2021-06-27,63
2021-07-04,67
2021-07-11,56
2021-07-18,58
2021-07-25,65
2021-08-01,55
2021-08-08,67
2021-08-15,68
2021-08-22,68
2021-08-29,62
2021-09-05,63
2021-09-12,66
2021-09-19,53
2021-09-26,63
2021-10-03,65
2021-10-10,59
2021-10-17,63
2021-10-24,65
2021-10-31,89
2021-11-07,61
2021-11-14,60
2021-11-21,56
2021-11-28,65
2021-12-05,67
2021-12-12,86
2021-12-19,86
2021-12-26,80
2022-01-02,83
2022-01-09,76
2022-01-16,72
2022-01-23,85
2022-01-30,72
2022-02-06,65
2022-02-13,73
2022-02-20,65
2022-02-27,72
2022-03-06,78
2022-03-13,73
2022-03-20,75
2022-03-27,68
2022-04-03,88
2022-04-10,87
2022-04-17,80
2022-04-24,65
2022-05-01,65
2022-05-08,67
2022-05-15,61
2022-05-22,64
2022-05-29,66
2022-06-05,67
2022-06-12,64
2022-06-19,74
2022-06-26,66
2022-07-03,67
2022-07-10,70
2022-07-17,66
2022-07-24,68
2022-07-31,76
2022-08-07,70
2022-08-14,77
2022-08-21,74
2022-08-28,67
2022-09-04,69
2022-09-11,67
2022-09-18,65
2022-09-25,56
2022-10-02,65
2022-10-09,69
2022-10-16,59
2022-10-23,70
2022-10-30,81
2022-11-06,66
2022-11-13,63
2022-11-20,66
2022-11-27,65
