Categorie: Alle categorieën

Week,vegan: (Wereldwijd)
2021-10-17,81
2021-10-24,85
2021-10-31,85
2021-11-07,86
2021-11-14,89
2021-11-21,98
2021-11-28,81
2021-12-05,89
2021-12-12,89
2021-12-19,98
2021-12-26,87
2022-01-02,93
2022-01-09,93
2022-01-16,85
2022-01-23,85
2022-01-30,89
2022-02-06,86
2022-02-13,86
2022-02-20,80
2022-02-27,79
2022-03-06,79
2022-03-13,89
2022-03-20,100
2022-03-27,88
2022-04-03,88
2022-04-10,89
2022-04-17,83
2022-04-24,82
2022-05-01,80
2022-05-08,76
2022-05-15,76
2022-05-22,70
2022-05-29,74
2022-06-05,71
2022-06-12,75
2022-06-19,74
2022-06-26,75
2022-07-03,75
2022-07-10,78
2022-07-17,77
2022-07-24,76
2022-07-31,76
2022-08-07,78
2022-08-14,74
2022-08-21,72
2022-08-28,75
2022-09-04,73
2022-09-11,70
2022-09-18,74
2022-09-25,70
2022-10-02,73
2022-10-09,73
